Date,Time,Open,High,Low,Close,Tick volume
2023.10.03,00:00:00,1.04798,1.04933,1.04483,1.04686,109945
2023.10.04,00:00:00,1.04684,1.05321,1.04514,1.05069,105509
2023.10.05,00:00:00,1.05068,1.05518,1.05,1.05462,98932
2023.10.06,00:00:00,1.05463,1.05999,1.04824,1.05828,119273
2023.10.08,00:00:00,1.05529,1.05682,1.05494,1.05661,6900
2023.10.09,00:00:00,1.05662,1.05796,1.05194,1.05786,92868
2023.10.10,00:00:00,1.05788,1.06198,1.05542,1.06042,119034
2023.10.11,00:00:00,1.06043,1.06346,1.05806,1.06234,106299
2023.10.12,00:00:00,1.06234,1.06397,1.05257,1.05355,100075
2023.10.13,00:00:00,1.05358,1.05584,1.04954,1.05073,99020
2023.10.15,00:00:00,1.05083,1.05253,1.05025,1.0522,5142
2023.10.16,00:00:00,1.05221,1.05627,1.05156,1.05543,80694
2023.10.17,00:00:00,1.05543,1.05948,1.05328,1.05727,96925
2023.10.18,00:00:00,1.05726,1.05941,1.05231,1.05379,100641
2023.10.19,00:00:00,1.05381,1.06163,1.05282,1.05863,120996
2023.10.20,00:00:00,1.05862,1.06035,1.05649,1.05927,88671
2023.10.22,00:00:00,1.0595,1.05968,1.05883,1.05896,4578
2023.10.23,00:00:00,1.05893,1.06779,1.05714,1.06698,87441
2023.10.24,00:00:00,1.06699,1.06942,1.0583,1.05949,92141
2023.10.25,00:00:00,1.05952,1.06067,1.05601,1.05661,87416
2023.10.26,00:00:00,1.05661,1.05691,1.05221,1.05638,100013
2023.10.27,00:00:00,1.05637,1.0597,1.05354,1.05605,80440
